,flow
1933-01-31,24.1
1933-02-28,20.81
1933-03-31,22.96
1933-04-30,37.66
1933-05-31,118.93
1933-06-30,331.31
1933-07-31,399.27
1933-08-31,250.89
1933-09-30,116.1
1933-10-31,69.38
1933-11-30,52.95
1933-12-31,40.21
1934-01-31,35.4
1934-02-28,28.88
1934-03-31,33.41
1934-04-30,102.22
1934-05-31,259.67
1934-06-30,390.77
1934-07-31,277.51
1934-08-31,194.82
1934-09-30,97.98
1934-10-31,49.84
1934-11-30,40.78
1934-12-31,27.44
1935-01-31,22.65
1935-02-28,27.61
1935-03-31,28.18
1935-04-30,34.55
1935-05-31,95.71
1935-06-30,291.66
1935-07-31,339.8
1935-08-31,208.13
1935-09-30,103.07
1935-10-31,47.29
1935-11-30,30.3
1935-12-31,25.37
1936-01-31,23.47
1936-02-29,21.24
1936-03-31,22.65
1936-04-30,41.63
1936-05-31,136.2
1936-06-30,291.66
1936-07-31,233.33
1936-08-31,162.82
1936-09-30,77.59
1936-10-31,38.79
1936-11-30,22.68
1936-12-31,22.26
1937-01-31,16.82
1937-02-28,16.99
1937-03-31,19.06
1937-04-30,25.49
1937-05-31,81.27
1937-06-30,218.04
1937-07-31,265.33
1937-08-31,165.09
1937-09-30,99.11
1937-10-31,52.39
1937-11-30,54.09
1937-12-31,31.43
1938-01-31,27.35
1938-02-28,24.49
1938-03-31,28.06
1938-04-30,42.76
1938-05-31,129.41
1938-06-30,379.45
1938-07-31,339.8
1938-08-31,148.38
1938-09-30,111.85
1938-10-31,54.65
1938-11-30,30.3
1938-12-31,24.89
1939-01-31,23.19
1939-02-28,19.03
1939-03-31,21.86
1939-04-30,39.36
1939-05-31,156.31
1939-06-30,220.02
1939-07-31,286.0
1939-08-31,203.88
1939-09-30,90.33
1939-10-31,66.26
1939-11-30,50.12
1939-12-31,34.83
1940-01-31,21.44
1940-02-29,22.68
1940-03-31,27.64
1940-04-30,35.11
1940-05-31,137.62
1940-06-30,268.16
1940-07-31,256.55
1940-08-31,168.77
1940-09-30,120.35
1940-10-31,66.26
1940-11-30,32.85
1940-12-31,28.6
1941-01-31,21.83
1941-02-28,18.35
1941-03-31,25.15
1941-04-30,37.94
1941-05-31,99.96
1941-06-30,206.71
1941-07-31,217.19
1941-08-31,152.06
1941-09-30,74.47
1941-10-31,52.1
1941-11-30,36.53
1941-12-31,31.15
1942-01-31,22.82
1942-02-28,23.02
1942-03-31,24.83
1942-04-30,33.98
1942-05-31,118.65
1942-06-30,258.53
1942-07-31,319.98
1942-08-31,209.83
1942-09-30,89.76
1942-10-31,53.52
1942-11-30,32.85
1942-12-31,26.67
1943-01-31,21.55
1943-02-28,21.01
1943-03-31,26.19
1943-04-30,65.13
1943-05-31,88.35
1943-06-30,194.54
1943-07-31,334.14
1943-08-31,215.77
1943-09-30,80.14
1943-10-31,51.54
1943-11-30,29.45
1943-12-31,23.33
1944-01-31,20.1
1944-02-29,19.43
1944-03-31,20.08
1944-04-30,27.33
1944-05-31,87.5
1944-06-30,220.31
1944-07-31,172.17
1944-08-31,156.03
1944-09-30,91.75
1944-10-31,53.52
1944-11-30,34.55
1944-12-31,19.91
1945-01-31,17.05
1945-02-28,17.02
1945-03-31,16.88
1945-04-30,22.14
1945-05-31,66.83
1945-06-30,210.96
1945-07-31,242.96
1945-08-31,150.08
1945-09-30,74.47
1945-10-31,41.34
1945-11-30,30.3
1945-12-31,18.32
1946-01-31,14.19
1946-02-28,16.48
1946-03-31,24.95
1946-04-30,33.7
1946-05-31,164.52
1946-06-30,334.14
1946-07-31,308.65
1946-08-31,189.72
1946-09-30,114.12
1946-10-31,50.69
1946-11-30,30.02
1946-12-31,24.55
1947-01-31,24.44
1947-02-28,24.27
1947-03-31,28.6
1947-04-30,51.25
1947-05-31,188.87
1947-06-30,325.64
1947-07-31,311.49
1947-08-31,167.92
1947-09-30,97.98
1947-10-31,78.15
1947-11-30,43.89
1947-12-31,29.45
1948-01-31,25.94
1948-02-29,25.54
1948-03-31,23.59
1948-04-30,35.68
1948-05-31,144.7
1948-06-30,455.9
1948-07-31,274.67
1948-08-31,180.38
1948-09-30,92.6
1948-10-31,44.46
1948-11-30,30.02
1948-12-31,24.44
1949-01-31,20.73
1949-02-28,17.84
1949-03-31,20.64
1949-04-30,35.68
1949-05-31,152.63
1949-06-30,223.42
1949-07-31,163.67
1949-08-31,133.94
1949-09-30,73.62
1949-10-31,39.64
1949-11-30,30.3
1949-12-31,20.84
1950-01-31,15.72
1950-02-28,18.21
1950-03-31,23.64
1950-04-30,29.17
1950-05-31,70.79
1950-06-30,297.33
1950-07-31,416.26
1950-08-31,218.32
1950-09-30,123.74
1950-10-31,53.52
1950-11-30,32.56
1950-12-31,29.17
1951-01-31,25.63
1951-02-28,25.6
1951-03-31,26.5
1951-04-30,50.4
1951-05-31,198.78
1951-06-30,288.83
1951-07-31,404.93
1951-08-31,242.96
1951-09-30,105.34
1951-10-31,73.91
1951-11-30,43.32
1951-12-31,31.15
1952-01-31,25.8
1952-02-29,23.87
1952-03-31,24.3
1952-04-30,46.16
1952-05-31,157.44
1952-06-30,286.0
